ID,Groups,Description,Baseline [06-23 02:32],[07-05 13:36],[07-17 22:19]
,FileId,changeExtension rewrites dart suffix,OK/OK,OK/OK,OK/OK
,FileId,uri resolves to package path,OK/OK,OK/OK,OK/OK
,FileId,equality uses package and path,OK/OK,OK/OK,OK/OK
,isGlobPattern,detects glob metacharacters,OK/OK,OK/OK,OK/OK
,isGlobPattern,treats a plain path as a non-glob,OK/OK,OK/OK,OK/OK
,collectTargetFiles,includes plain .dart files and excludes generated outputs,OK/OK,OK/OK,OK/OK
,collectTargetFiles,skips a directory target unless allMode is set,OK/OK,OK/OK,OK/OK
,findProjectRoot,walks up to the nearest pubspec.yaml,OK/OK,OK/OK,OK/OK
,,warning map exposes all toggles,OK/OK,OK/OK,OK/OK
,findProjectRoot,returns null when no pubspec.yaml is found,OK/OK,OK/OK,OK/OK
,extractGenerateForPatterns (build.yaml fallback),reads patterns from a reflection builder target,OK/OK,OK/OK,OK/OK
,extractGenerateForPatterns (build.yaml fallback),reads the top-level generate_for shorthand,OK/OK,OK/OK,OK/OK
,extractGenerateForPatterns (build.yaml fallback),returns empty for an unrelated build.yaml,OK/OK,OK/OK,OK/OK
,extractBuilderOptions (build.yaml extension override),collects builder options including extension,OK/OK,OK/OK,OK/OK
,G-REFL-3: flag-free single-project generation,the tool is a single-command project-traversal tool (no git),--/OK,OK/OK,OK/OK
,G-REFL-3: flag-free single-project generation,flag-free args scope traversal to the current project (scan .),--/OK,OK/OK,OK/OK
RG-PR-1,deterministicPrefixRemap,assigns 0..N-1 in ascending URI order,--/OK,--/OK,OK/OK
RG-PR-2,deterministicPrefixRemap,independent of encounter order (stable output),--/OK,--/OK,OK/OK
RG-PR-3,deterministicPrefixRemap,ties on URI fall back to old index,--/OK,--/OK,OK/OK
RG-PR-4,deterministicPrefixRemap,empty input yields empty map,--/OK,--/OK,OK/OK
RG-PR-5,applyPrefixRemap,rewrites qualified member access,--/OK,--/OK,OK/OK
RG-PR-6,applyPrefixRemap,leaves bare prefix tokens in strings untouched,--/OK,--/OK,OK/OK
RG-PR-7,applyPrefixRemap,does not touch identifiers that merely start with prefix,--/OK,--/OK,OK/OK
RG-PR-8,applyPrefixRemap,distinguishes prefix1 from prefix10,--/OK,--/OK,OK/OK
RG-PR-9,applyPrefixRemap,indices absent from remap are left as-is,--/OK,--/OK,OK/OK
,processReflectionFile outcome classification,resolveFile throwing yields ReflectionFileOutcome.failed,--/OK,--/OK,OK/OK
,processReflectionFile outcome classification,resolveFile returning null yields ReflectionFileOutcome.skipped,--/OK,--/OK,OK/OK
